PLANNING_SELECTED,PRODUCT,BUDGET_GROUP,SALE_CHANNEL_GRP,CREATE_MONTH,FPD10_PJ,LOSS_RATE_PJ,LA in Bio
GOODBANK,TW,TWL PROMO NEW BIKE LOW DP,IH-POS,01/12/2022,0.0201,0.0644,4.4
GOODBANK,TW,TWL PROMO NEW BIKE LOW DP,IH-POS,01/01/2023,0.0213,0.0688,23.2
GOODBANK,TW,TWL PROMO NEW BIKE LOW DP,IH-POS,01/02/2023,0.0164,0.0551,18.9
GOODBANK,TW,TWL PROMO NEW BIKE LOW DP,IH-POS,01/03/2023,0.0132,0.0503,16.3
GOODBANK,TW,TWL PROMO NEW BIKE LOW DP,IH-POS,01/04/2023,0.0186,0.0593,13.6
GOODBANK,TW,TWL PROMO NEW BIKE LOW DP,IH-POS,01/05/2023,0.0208,0.0670,12.0
GOODBANK,TW,TWL PROMO USED BIKE HIGH DP,3P-DSA,01/05/2023,0.0000,0.0000,0.0
GOODBANK,TW,TWL PROMO USED BIKE HIGH DP,IH-POS,01/12/2022,0.0093,0.0365,4.4
GOODBANK,TW,TWL PROMO USED BIKE HIGH DP,IH-POS,01/01/2023,0.0265,0.0825,23.5
GOODBANK,TW,TWL PROMO USED BIKE HIGH DP,IH-POS,01/02/2023,0.0261,0.0820,18.0
GOODBANK,TW,TWL PROMO USED BIKE HIGH DP,IH-POS,01/03/2023,0.0294,0.0869,18.5
GOODBANK,TW,TWL PROMO USED BIKE HIGH DP,IH-POS,01/04/2023,0.0285,0.0855,22.2
GOODBANK,TW,TWL PROMO USED BIKE HIGH DP,IH-POS,01/05/2023,0.0139,0.0514,17.8
GOODBANK,TW,TWL PROMO USED BIKE LOW DP,IH-POS,01/12/2022,0.0000,0.0000,0.1
GOODBANK,TW,TWL PROMO USED BIKE LOW DP,IH-POS,01/01/2023,0.0650,0.1307,4.6
GOODBANK,TW,TWL PROMO USED BIKE LOW DP,IH-POS,01/02/2023,0.0246,0.0798,1.9
GOODBANK,TW,TWL PROMO USED BIKE LOW DP,IH-POS,01/03/2023,0.0660,0.1323,2.3
GOODBANK,TW,TWL PROMO USED BIKE LOW DP,IH-POS,01/04/2023,0.0415,0.1009,1.3
GOODBANK,TW,UNIFIED NONLG,3P-DSA,01/01/2023,0.0000,0.0000,0.0
GOODBANK,TW,UNIFIED NONLG,IH-DSA,01/01/2023,0.0000,0.0000,0.0
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,3P-DSA,01/12/2022,0.0961,0.2488,1.8
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,3P-DSA,01/01/2023,0.0461,0.1982,2.2
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,3P-DSA,01/02/2023,0.1341,0.3006,1.6
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,3P-DSA,01/03/2023,0.1084,0.2580,2.0
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,3P-DSA,01/04/2023,0.0639,0.2202,2.4
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,3P-DSA,01/05/2023,0.0000,0.0000,2.0
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,3P-TSA,01/12/2022,0.0800,0.2369,36.8
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,3P-TSA,01/01/2023,0.0438,0.1940,33.0
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,3P-TSA,01/02/2023,0.0744,0.2316,21.4
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,3P-TSA,01/03/2023,0.0568,0.2108,24.4
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,3P-TSA,01/04/2023,0.0499,0.2022,18.7
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,3P-TSA,01/05/2023,0.0313,0.1657,16.5
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-DSA,01/12/2022,0.0795,0.2366,16.2
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-DSA,01/01/2023,0.0357,0.1767,15.6
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-DSA,01/02/2023,0.0728,0.2300,9.3
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-DSA,01/03/2023,0.0614,0.2169,9.7
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-DSA,01/04/2023,0.0756,0.2328,9.3
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-DSA,01/05/2023,0.0682,0.2253,6.0
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-POS,01/12/2022,0.0650,0.2216,8.7
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-POS,01/01/2023,0.0332,0.1706,10.0
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-POS,01/02/2023,0.0298,0.1617,6.7
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-POS,01/03/2023,0.0330,0.1700,5.4
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-POS,01/04/2023,0.0246,0.1468,5.3
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-POS,01/05/2023,0.0000,0.0000,3.1
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-TSA,01/12/2022,0.0766,0.2338,83.9
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-TSA,01/01/2023,0.0574,0.2116,59.2
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-TSA,01/02/2023,0.0651,0.2218,32.2
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-TSA,01/03/2023,0.0697,0.2267,34.5
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-TSA,01/04/2023,0.0422,0.1912,28.3
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-TSA,01/05/2023,0.0346,0.1740,20.3
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-TSA LG,01/12/2022,0.0413,0.1895,21.1
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-TSA LG,01/01/2023,0.0411,0.1891,14.0
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-TSA LG,01/02/2023,0.0287,0.1588,11.1
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-TSA LG,01/03/2023,0.0436,0.1937,11.4
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-TSA LG,01/04/2023,0.0533,0.2059,10.2
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-TSA LG,01/05/2023,0.0255,0.1499,6.3
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-TSA TR,01/12/2022,0.0310,0.1647,6.9
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-TSA TR,01/01/2023,0.0301,0.1625,5.5
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-TSA TR,01/02/2023,0.0164,0.1199,3.1
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-TSA TR,01/03/2023,0.0124,0.1042,3.5
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-TSA TR,01/04/2023,0.0476,0.1999,5.2
GOODBANK,XS,XSELL_HIGH NEED_HIGH RISK,IH-TSA TR,01/05/2023,0.0535,0.2062,2.9
GOODBANK,XS,XSELL_HIGH NEED_LOW RISK,3P-DSA,01/01/2023,0.0000,0.0000,0.2
GOODBANK,XS,XSELL_HIGH NEED_LOW RISK,3P-DSA,01/02/2023,0.0000,0.0000,0.4
GOODBANK,XS,XSELL_HIGH NEED_LOW RISK,3P-DSA,01/03/2023,0.0560,0.2096,0.4
